TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DT,Lithology,Well
427.12,0.0,0.0,1.0,1.0,1.0,0.0,97.0781,2.1704,-0.4605,20000.0,40.3255,46.9533,56.4903,ARENITO,3_BRSA_778_SE
427.13,0.0,0.0,1.0,1.0,1.0,0.0,97.3229,2.1703,-0.4603,20000.0,40.3628,46.9129,56.4969,ARENITO,3_BRSA_778_SE
427.14,0.0,0.0,1.0,1.0,1.0,0.0,97.5676,2.1701,-0.4601,20000.0,40.4001,46.8726,56.5036,ARENITO,3_BRSA_778_SE
427.15,0.0,0.0,1.0,1.0,1.0,0.0,97.8123,2.17,-0.46,20000.0,40.4373,46.8322,56.5103,FOLHELHO,3_BRSA_778_SE
427.16,0.0,0.0,1.0,1.0,1.0,0.0,98.057,2.1699,-0.4598,20000.0,40.4746,46.7918,56.517,FOLHELHO,3_BRSA_778_SE
427.17,0.0,0.0,1.0,1.0,1.0,0.0,98.3017,2.1697,-0.4596,20000.0,40.5119,46.7515,56.5237,FOLHELHO,3_BRSA_778_SE
427.18,0.0,0.0,1.0,1.0,1.0,0.0,98.5465,2.1696,-0.4594,20000.0,40.5492,46.7111,56.5303,FOLHELHO,3_BRSA_778_SE
427.19,0.0,0.0,1.0,1.0,1.0,0.0,98.7912,2.1694,-0.4592,20000.0,40.5865,46.6708,56.537,FOLHELHO,3_BRSA_778_SE
427.2,0.0,0.0,1.0,1.0,1.0,0.0,99.0359,2.1693,-0.459,20000.0,40.6238,46.6304,56.5437,FOLHELHO,3_BRSA_778_SE
427.21,0.0,0.0,1.0,1.0,1.0,0.0,98.4341,2.1689,-0.4591,20000.0,40.8343,46.7283,56.5491,FOLHELHO,3_BRSA_778_SE
427.22,0.0,0.0,1.0,1.0,1.0,0.0,97.8323,2.1685,-0.4592,20000.0,41.0447,46.8263,56.5545,FOLHELHO,3_BRSA_778_SE
427.23,0.0,0.0,1.0,1.0,1.0,0.0,97.2305,2.1681,-0.4594,20000.0,41.2552,46.9242,56.56,FOLHELHO,3_BRSA_778_SE
427.24,0.0,0.0,1.0,1.0,1.0,0.0,96.6287,2.1677,-0.4595,20000.0,41.4656,47.0221,56.5654,FOLHELHO,3_BRSA_778_SE
427.25,0.0,0.0,1.0,1.0,1.0,0.0,96.0269,2.1672,-0.4596,20000.0,41.6761,47.12,56.5708,FOLHELHO,3_BRSA_778_SE
427.26,0.0,0.0,1.0,1.0,1.0,0.0,95.4251,2.1668,-0.4597,20000.0,41.8866,47.218,56.5762,FOLHELHO,3_BRSA_778_SE
427.27,0.0,0.0,1.0,1.0,1.0,0.0,94.8233,2.1664,-0.4598,20000.0,42.097,47.3159,56.5816,FOLHELHO,3_BRSA_778_SE
427.28,0.0,0.0,1.0,1.0,1.0,0.0,94.2215,2.166,-0.46,20000.0,42.3075,47.4138,56.5871,FOLHELHO,3_BRSA_778_SE
