TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DTC,Lithology,Well
53.76,0.0,0.0,1.0,1.0,1.0,0.0,85.5092,2.3604,-0.4071,51.3711,0.506,26.747,55.8446,FOLHELHO,3_BRSA_889_SE
53.77,0.0,0.0,1.0,1.0,1.0,0.0,85.5752,2.3604,-0.4071,51.1576,0.5117,26.7471,56.0219,FOLHELHO,3_BRSA_889_SE
53.78,0.0,0.0,1.0,1.0,1.0,0.0,85.6412,2.3604,-0.4071,50.9442,0.5173,26.7472,56.1992,FOLHELHO,3_BRSA_889_SE
53.79,0.0,0.0,1.0,1.0,1.0,0.0,85.7072,2.3604,-0.4071,50.7307,0.523,26.7473,56.3765,FOLHELHO,3_BRSA_889_SE
53.8,0.0,0.0,1.0,1.0,1.0,0.0,85.7732,2.3604,-0.4071,50.5173,0.5286,26.7474,56.5538,FOLHELHO,3_BRSA_889_SE
53.81,0.0,0.0,1.0,1.0,1.0,0.0,85.9378,2.3604,-0.4071,50.2896,0.5289,26.7474,56.5791,FOLHELHO,3_BRSA_889_SE
53.82,0.0,0.0,1.0,1.0,1.0,0.0,86.1024,2.3603,-0.4071,50.0619,0.5292,26.7475,56.6045,FOLHELHO,3_BRSA_889_SE
53.83,0.0,0.0,1.0,1.0,1.0,0.0,86.267,2.3603,-0.4071,49.8342,0.5295,26.7476,56.6298,FOLHELHO,3_BRSA_889_SE
53.84,0.0,0.0,1.0,1.0,1.0,0.0,86.4315,2.3603,-0.4071,49.6065,0.5298,26.7476,56.6552,FOLHELHO,3_BRSA_889_SE
53.85,0.0,0.0,1.0,1.0,1.0,0.0,86.5961,2.3603,-0.4071,49.3788,0.5301,26.7477,56.6805,FOLHELHO,3_BRSA_889_SE
53.86,0.0,0.0,1.0,1.0,1.0,0.0,86.7607,2.3603,-0.4071,49.1511,0.5304,26.7478,56.7059,FOLHELHO,3_BRSA_889_SE
53.87,0.0,0.0,1.0,1.0,1.0,0.0,86.9253,2.3603,-0.4071,48.9234,0.5307,26.7478,56.7312,FOLHELHO,3_BRSA_889_SE
53.88,0.0,0.0,1.0,1.0,1.0,0.0,87.0899,2.3603,-0.4071,48.6957,0.531,26.7479,56.7565,FOLHELHO,3_BRSA_889_SE
53.89,0.0,0.0,1.0,1.0,1.0,0.0,87.2544,2.3603,-0.4071,48.468,0.5313,26.748,56.7819,FOLHELHO,3_BRSA_889_SE
53.9,0.0,0.0,1.0,1.0,1.0,0.0,87.419,2.3603,-0.4071,48.2403,0.5316,26.7481,56.8072,FOLHELHO,3_BRSA_889_SE
53.91,0.0,0.0,1.0,1.0,1.0,0.0,87.2921,2.3603,-0.4071,47.7931,0.5296,26.7481,56.623,FOLHELHO,3_BRSA_889_SE
53.92,0.0,0.0,1.0,1.0,1.0,0.0,87.1651,2.3603,-0.4071,47.3459,0.5277,26.7481,56.4387,FOLHELHO,3_BRSA_889_SE
