TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO
427.12,0.0,0.0,1.0,1.0,1.0,0.0,97.0781,2.1704,-0.4605
427.13,0.0,0.0,1.0,1.0,1.0,0.0,97.3229,2.1703,-0.4603
427.14,0.0,0.0,1.0,1.0,1.0,0.0,97.5676,2.1701,-0.4601
427.15,0.0,0.0,1.0,1.0,1.0,0.0,97.8123,2.17,-0.46
427.16,0.0,0.0,1.0,1.0,1.0,0.0,98.057,2.1699,-0.4598
427.17,0.0,0.0,1.0,1.0,1.0,0.0,98.3017,2.1697,-0.4596
427.18,0.0,0.0,1.0,1.0,1.0,0.0,98.5465,2.1696,-0.4594
427.19,0.0,0.0,1.0,1.0,1.0,0.0,98.7912,2.1694,-0.4592
427.2,0.0,0.0,1.0,1.0,1.0,0.0,99.0359,2.1693,-0.459
427.21,0.0,0.0,1.0,1.0,1.0,0.0,98.4341,2.1689,-0.4591
427.22,0.0,0.0,1.0,1.0,1.0,0.0,97.8323,2.1685,-0.4592
427.23,0.0,0.0,1.0,1.0,1.0,0.0,97.2305,2.1681,-0.4594
427.24,0.0,0.0,1.0,1.0,1.0,0.0,96.6287,2.1677,-0.4595
427.25,0.0,0.0,1.0,1.0,1.0,0.0,96.0269,2.1672,-0.4596
427.26,0.0,0.0,1.0,1.0,1.0,0.0,95.4251,2.1668,-0.4597
427.27,0.0,0.0,1.0,1.0,1.0,0.0,94.8233,2.1664,-0.4598
427.28,0.0,0.0,1.0,1.0,1.0,0.0,94.2215,2.166,-0.46
427.29,0.0,0.0,1.0,1.0,1.0,0.0,93.6197,2.1656,-0.4601
427.3,0.0,0.0,1.0,1.0,1.0,0.0,93.0179,2.1652,-0.4602
427.31,0.0,0.0,1.0,1.0,1.0,0.0,92.8338,2.1647,-0.4605
427.32,0.0,0.0,1.0,1.0,1.0,0.0,92.6497,2.1642,-0.4608
427.33,0.0,0.0,1.0,1.0,1.0,0.0,92.4655,2.1636,-0.461
427.34,0.0,0.0,1.0,1.0,1.0,0.0,92.2814,2.1631,-0.4613
427.35,0.0,0.0,1.0,1.0,1.0,0.0,92.0973,2.1626,-0.4616
427.36,0.0,0.0,1.0,1.0,1.0,0.0,91.9132,2.1621,-0.4619
427.37,0.0,0.0,1.0,1.0,1.0,0.0,91.7291,2.1616,-0.4622
427.38,0.0,0.0,1.0,1.0,1.0,0.0,91.5449,2.161,-0.4624
427.39,0.0,0.0,1.0,1.0,1.0,0.0,91.3608,2.1605,-0.4627
427.4,0.0,0.0,1.0,1.0,1.0,0.0,91.1767,2.16,-0.463
427.41,0.0,0.0,1.0,1.0,1.0,0.0,91.2461,2.1593,-0.4634
427.42,0.0,0.0,1.0,1.0,1.0,0.0,91.3155,2.1586,-0.4637
427.43,0.0,0.0,1.0,1.0,1.0,0.0,91.3849,2.1579,-0.4641
427.44,0.0,0.0,1.0,1.0,1.0,0.0,91.4543,2.1572,-0.4645
427.45,0.0,0.0,1.0,1.0,1.0,0.0,91.5238,2.1564,-0.4648
427.46,0.0,0.0,1.0,1.0,1.0,0.0,91.5932,2.1557,-0.4652
427.47,0.0,0.0,1.0,1.0,1.0,0.0,91.6626,2.155,-0.4656
427.48,0.0,0.0,1.0,1.0,1.0,0.0,91.732,2.1543,-0.466
427.49,0.0,0.0,1.0,1.0,1.0,0.0,91.8014,2.1536,-0.4663
427.5,0.0,0.0,1.0,1.0,1.0,0.0,91.8708,2.1529,-0.4667
427.51,0.0,0.0,1.0,1.0,1.0,0.0,92.2364,2.1521,-0.4671
427.52,0.0,0.0,1.0,1.0,1.0,0.0,92.602,2.1513,-0.4674
427.53,0.0,0.0,1.0,1.0,1.0,0.0,92.9675,2.1505,-0.4678
427.54,0.0,0.0,1.0,1.0,1.0,0.0,93.3331,2.1497,-0.4682
427.55,0.0,0.0,1.0,1.0,1.0,0.0,93.6987,2.149,-0.4686
427.56,0.0,0.0,1.0,1.0,1.0,0.0,94.0643,2.1482,-0.4689
427.57,0.0,0.0,1.0,1.0,1.0,0.0,94.4299,2.1474,-0.4693
427.58,0.0,0.0,1.0,1.0,1.0,0.0,94.7954,2.1466,-0.4697
427.59,0.0,0.0,1.0,1.0,1.0,0.0,95.161,2.1458,-0.47
427.6,0.0,0.0,1.0,1.0,1.0,0.0,95.5266,2.145,-0.4704
427.61,0.0,0.0,1.0,1.0,1.0,0.0,95.8031,2.1435,-0.4709
427.62,0.0,0.0,1.0,1.0,1.0,0.0,96.0796,2.142,-0.4715
427.63,0.0,0.0,1.0,1.0,1.0,0.0,96.3562,2.1405,-0.472
427.64,0.0,0.0,1.0,1.0,1.0,0.0,96.6327,2.139,-0.4725
427.65,0.0,0.0,1.0,1.0,1.0,0.0,96.9092,2.1376,-0.473
427.66,0.0,0.0,1.0,1.0,1.0,0.0,97.1857,2.1361,-0.4736
427.67,0.0,0.0,1.0,1.0,1.0,0.0,97.4622,2.1346,-0.4741
427.68,0.0,0.0,1.0,1.0,1.0,0.0,97.7388,2.1331,-0.4746
427.69,0.0,0.0,1.0,1.0,1.0,0.0,98.0153,2.1316,-0.4752
427.7,0.0,0.0,1.0,1.0,1.0,0.0,98.2918,2.1301,-0.4757
427.71,0.0,0.0,1.0,1.0,1.0,0.0,98.111,2.1296,-0.4758
