TDEP,LITOLOGIA
0.0,
0.1,
0.2,
0.3,
0.4,
0.5,
0.6,
0.7,
0.8,
0.9,
1.0,
1.1,
1.2,
1.3,
1.4,
1.5,
1.6,
1.7,
1.8,
1.9,
2.0,
2.1,
2.2,
2.3,
2.4,
2.5,
2.6,
2.7,
2.8,
2.9,
3.0,
3.1,
3.2,
3.3,
3.4,
3.5,
3.6,
3.7,
3.8,
3.9,
4.0,
4.1,
4.2,
4.3,
4.4,
4.5,
4.6,
4.7,
4.8,
4.9,
5.0,
5.1,
5.2,
5.3,
5.4,
5.5,
5.6,
5.7,
5.8,
5.9,
6.0,
6.1,
6.2,
6.3,
6.4,
6.5,
6.6,
6.7,
6.8,
6.9,
7.0,
7.1,
7.2,
7.3,
7.4,
7.5,
7.6,
7.7,
7.8,
7.9,
8.0,
8.1,
8.2,
8.3,
8.4,
8.5,
8.6,
8.7,
8.8,
8.9,
9.0,
9.1,
9.2,
9.3,
9.4,
9.5,
9.6,
9.7,
9.8,
9.9,
10.0,
10.1,
10.2,
10.3,
10.4,
10.5,
10.6,
10.7,
10.8,
10.9,
11.0,
11.1,
11.2,
11.3,
11.4,
11.5,
11.6,
11.7,
11.8,
11.9,
12.0,
12.1,
12.2,
12.3,
12.4,
12.5,
12.6,
12.7,
12.8,
12.9,
13.0,ARGILITO
13.1,ARGILITO
13.2,ARGILITO
13.3,ARGILITO
13.4,ARGILITO
13.5,ARGILITO
13.6,ARGILITO
13.7,ARGILITO
13.8,ARGILITO
13.9,ARGILITO
14.0,ARGILITO
14.1,ARGILITO
14.2,ARGILITO
14.3,ARGILITO
14.4,ARGILITO
14.5,ARGILITO
14.6,ARGILITO
14.7,ARGILITO
14.8,ARGILITO
14.9,ARGILITO
15.0,ARGILITO
15.1,ARGILITO
15.2,ARGILITO
15.3,ARGILITO
15.4,ARGILITO
15.5,ARGILITO
15.6,ARGILITO
15.7,ARGILITO
15.8,ARGILITO
15.9,ARGILITO
16.0,ARGILITO
16.1,ARGILITO
16.2,ARGILITO
16.3,ARGILITO
16.4,ARGILITO
16.5,ARGILITO
16.6,ARGILITO
16.7,ARGILITO
16.8,ARGILITO
16.9,ARGILITO
17.0,ARGILITO
17.1,ARGILITO
17.2,ARGILITO
17.3,ARGILITO
17.4,ARGILITO
17.5,ARGILITO
17.6,ARGILITO
17.7,ARGILITO
17.8,ARGILITO
17.9,ARGILITO
18.0,ARENITO
18.1,ARENITO
18.2,ARENITO
18.3,ARENITO
18.4,ARENITO
18.5,ARENITO
18.6,ARENITO
18.7,ARENITO
18.8,ARENITO
18.9,ARENITO
19.0,ARENITO
19.1,ARENITO
19.2,ARENITO
19.3,ARENITO
19.4,ARENITO
19.5,ARENITO
19.6,ARENITO
19.7,ARENITO
19.8,ARENITO
19.9,ARENITO
20.0,ARENITO
20.1,ARENITO
20.2,ARENITO
20.3,ARENITO
20.4,ARENITO
20.5,ARENITO
20.6,ARENITO
20.7,ARENITO
20.8,ARENITO
20.9,ARENITO
21.0,ARENITO
21.1,ARENITO
21.2,ARENITO
21.3,ARENITO
21.4,ARENITO
21.5,ARENITO
21.6,ARENITO
21.7,ARENITO
21.8,ARENITO
21.9,ARENITO
22.0,ARENITO
22.1,ARENITO
22.2,ARENITO
22.3,ARENITO
22.4,ARENITO
22.5,ARENITO
22.6,ARENITO
22.7,ARENITO
22.8,ARENITO
22.9,ARENITO
23.0,ARENITO
23.1,ARENITO
23.2,ARENITO
23.3,ARENITO
23.4,ARENITO
23.5,ARENITO
23.6,ARENITO
23.7,ARENITO
23.8,ARENITO
23.9,ARENITO
24.0,ARENITO
24.1,ARENITO
24.2,ARENITO
24.3,ARENITO
24.4,ARENITO
24.5,ARENITO
24.6,ARENITO
24.7,ARENITO
24.8,ARENITO
24.9,ARENITO
25.0,ARENITO
25.1,ARENITO
25.2,ARENITO
25.3,ARENITO
25.4,ARENITO
25.5,ARENITO
25.6,ARENITO
25.7,ARENITO
25.8,ARENITO
25.9,ARENITO
26.0,ARENITO
26.1,ARENITO
26.2,ARENITO
26.3,ARENITO
26.4,ARENITO
26.5,ARENITO
26.6,ARENITO
26.7,ARENITO
26.8,ARENITO
26.9,ARENITO
27.0,ARENITO
27.1,ARENITO
27.2,ARENITO
27.3,ARENITO
27.4,ARENITO
27.5,ARENITO
27.6,ARENITO
27.7,ARENITO
